,opeid,name,state,prog-length,school-type-num,dual-num-2014,dual-denom-2014,drate-2014,prate-2014,ethnic-code,program,dual-num-2013,dual-denom-2013,drate-2013,prate-2013,dual-num-2012,dual-denom-2012,drate-2012,prate-2012,school-type-label,non_default
4175,38333,AMERICAN ACADEMY OF TRADITIONAL CHINESE MEDICINE                 ,MN,8,3,2,80,2.5,B,5,D,0,35,0.0,A,4,73,5.4,B,for-profit (proprietary),2013
4182,38533,KECK GRADUATE INSTITUTE OF APPLIED LIFE SCIENCES                 ,CA,8,2,0,54,0.0,A,5,D,0,46,0.0,A,1,38,2.6,A,"private, non-profit",2014 2013
4187,38684,LOS ANGELES MUSIC ACADEMY                                        ,CA,6,3,4,35,11.4,A,5,D,0,43,0.0,A,1,30,3.3,A,for-profit (proprietary),2013
4189,38724,DIVINE MERCY UNIVERSITY                                          ,VA,8,2,0,41,0.0,B,5,D,0,47,0.0,B,0,44,0.0,B,"private, non-profit",ALL
4196,38883,DRAGON RISES COLLEGE OF ORIENTAL MEDICINE                        ,FL,8,2,2,51,3.9,B,5,D,1,49,2.0,B,0,47,0.0,B,"private, non-profit",2012
4214,39393,WOLFORD COLLEGE                                                  ,FL,8,3,0,90,0.0,A,5,D,0,92,0.0,A,0,103,0.0,A,for-profit (proprietary),ALL
4218,39463,FRANKLIN W. OLIN COLLEGE OF ENGINEERING                          ,MA,6,2,0,64,0.0,B,5,D,0,57,0.0,B,0,50,0.0,B,"private, non-profit",ALL
4235,39743,"ST. GEORGE'S UNIVERSITY, SCHOOL OF VETERINARY MEDICINE           ",FC,7,7,0,81,0.0,A,5,D,1,80,1.2,A,1,61,1.6,A,,2014
4274,40443,HAZELDEN GRADUATE SCHOOL OF ADDICTION STUDIES                    ,MN,8,2,0,45,0.0,A,5,D,3,67,4.4,A,0,65,0.0,A,"private, non-profit",2014 2012
4298,41023,NEW AGE TRAINING                                                 ,NY,3,3,14,52,26.9,A,5,D,0,0,0.0,A,12,34,35.2,B,for-profit (proprietary),2013
4306,41144,INSTITUTE OF WORLD POLITICS (THE)                                ,DC,8,2,1,53,1.8,A,5,D,1,46,2.1,A,0,44,0.0,A,"private, non-profit",2012
4332,41218,CRISWELL COLLEGE                                                 ,TX,8,2,3,36,8.3,B,5,D,0,8,0.0,B,0,0,0.0,A,"private, non-profit",2013 2012
4361,41305,PACIFIC NORTHWEST UNIVERSITY OF HEALTH SCIENCES                  ,WA,7,2,0,85,0.0,A,5,D,0,59,0.0,A,0,21,0.0,B,"private, non-profit",ALL
4392,41385,HOUSTON INTERNATIONAL COLLEGE CARDIOTECH ULTRASOUND SCHOOL       ,TX,5,3,2,62,3.2,B,5,D,0,35,0.0,B,0,14,0.0,B,for-profit (proprietary),2013 2012
4395,41390,MIDWESTERN CAREER COLLEGE                                        ,IL,5,3,30,206,14.5,A,5,D,8,111,7.2,A,0,43,0.0,A,for-profit (proprietary),2012
4396,41391,UNIVERSITA DEGLI STUDI DI SCIENZE GASTRONOMICHE                  ,FC,8,6,1,36,2.7,B,5,D,0,28,0.0,B,0,18,0.0,B,foreign for-profit,2013 2012
4413,41425,TOURO UNIVERSITY WORLDWIDE                                       ,CA,8,2,1,45,2.2,A,5,D,1,23,4.3,B,0,3,0.0,B,"private, non-profit",2012
4415,41427,PONTIFICAL JOHN PAUL II INSTITUTE FOR STUDIES ON MARRIAGE AND FAM,DC,8,2,0,34,0.0,B,5,D,0,29,0.0,B,0,22,0.0,B,"private, non-profit",ALL
4418,41432,HULT INTERNATIONAL BUSINESS SCHOOL                               ,MA,8,2,2,104,1.9,A,5,D,0,6,0.0,B,0,0,0.0,A,"private, non-profit",2013 2012
4419,41437,ST MARY'S UNIVERSITY TWICKENHAM                                  ,FC,8,5,0,109,0.0,B,5,D,0,33,0.0,A,0,53,0.0,A,foreign private,ALL
4429,41455,SKIN SCIENCE INSTITUTE OF LASER & ESTHETICS                      ,UT,3,3,0,38,0.0,A,5,D,2,47,4.2,A,5,87,5.7,A,for-profit (proprietary),2014
4434,41464,DAOIST TRADITIONS COLLEGE OF CHINESE MEDICAL ARTS                ,NC,8,3,0,35,0.0,B,5,D,0,18,0.0,B,0,18,0.0,B,for-profit (proprietary),ALL
4436,41467,AVIATION INSTITUTE OF MAINTENANCE                                ,TX,4,3,0,163,0.0,A,5,D,10,154,6.4,A,35,126,27.7,A,for-profit (proprietary),2014
4458,41501,GOLDEN STATE COLLEGE OF COURT REPORTING & CAPTIONING             ,CA,11,3,3,38,7.8,B,5,D,3,20,15.0,B,0,11,0.0,B,for-profit (proprietary),2012
4476,41538,BETHEL COLLEGE                                                   ,VA,6,2,3,30,10.0,B,5,D,1,27,3.7,B,0,13,0.0,B,"private, non-profit",2012
4483,41551,INSTITUTE OF MEDICAL AND BUSINESS CAREERS                        ,PA,5,3,2,32,6.2,B,5,D,0,11,0.0,B,0,3,0.0,B,for-profit (proprietary),2013 2012
4500,41589,FLAIR BEAUTY COLLEGE                                             ,CA,3,3,1,45,2.2,A,5,D,0,14,0.0,B,0,0,0.0,A,for-profit (proprietary),2013 2012
4501,41594,COLUMBIA COLLEGE OF NURSING                                      ,WI,6,2,0,55,0.0,A,5,D,1,72,1.3,A,0,35,0.0,A,"private, non-profit",2014 2012
4502,41596,GALAXY MEDICAL COLLEGE                                           ,CA,3,3,7,30,23.3,A,5,D,3,33,9.0,A,0,19,0.0,B,for-profit (proprietary),2012
4503,41597,AMERICAN MEDICAL SCIENCES CENTER                                 ,CA,5,3,4,57,7.0,A,5,D,10,68,14.7,A,0,28,0.0,B,for-profit (proprietary),2012
4508,41612,PINCHOT UNIVERSITY                                               ,WA,8,2,1,62,1.6,A,5,D,0,55,0.0,A,1,48,2.0,A,"private, non-profit",2013
4529,41660,MANHATTAN INSTITUTE (THE)                                        ,NY,3,3,13,64,20.3,A,5,D,8,54,14.8,A,0,4,0.0,B,for-profit (proprietary),2012
4531,41668,SUMMIT SALON ACADEMY                                             ,OH,4,3,4,55,7.2,A,5,D,0,45,0.0,A,4,65,6.1,A,for-profit (proprietary),2013
4535,41672,GEISINGER COMMONWEALTH SCHOOL OF MEDICINE                        ,PA,8,2,0,72,0.0,A,5,D,1,50,2.0,B,0,22,0.0,B,"private, non-profit",2014 2012
4559,41715,COSMOPOLITAN BEAUTY & TECH SCHOOL                                ,VA,3,3,2,57,3.5,B,5,D,2,36,5.5,B,0,14,0.0,B,for-profit (proprietary),2012
4561,41720,SOUTHERN CALIFORNIA UNIVERSITY SOMA                              ,CA,8,3,5,30,16.6,B,5,D,3,11,27.2,B,0,1,0.0,B,for-profit (proprietary),2012
4562,41723,"ETERNITY COSMETOLOGY SCHOOL, CORP.                               ",FL,3,3,16,119,13.4,A,5,D,8,28,28.5,B,0,0,0.0,A,for-profit (proprietary),2012
4563,41725,ROLF INSTITUTE OF STRUCTURAL INTEGRATION (THE)                   ,CO,2,2,0,62,0.0,B,5,D,0,43,0.0,B,0,18,0.0,B,"private, non-profit",ALL
4581,41759,GEISINGER-LEWISTOWN HOSPITAL SCHOOL OF NURSING                   ,PA,3,2,0,41,0.0,B,5,D,0,16,0.0,B,0,3,0.0,B,"private, non-profit",ALL
4583,41763,BERGIN UNIVERSITY OF CANINE STUDIES                              ,CA,8,2,1,30,3.3,B,5,D,1,25,4.0,B,0,9,0.0,B,"private, non-profit",2012
4585,41771,PIMA MEDICAL INSTITUTE                                           ,CO,5,3,22,113,19.4,A,5,D,1,25,4.0,B,0,10,0.0,B,for-profit (proprietary),2012
4592,41782,VOGUE COLLEGE - SAN ANTONIO                                      ,TX,3,3,6,56,10.7,A,5,D,4,34,11.7,A,0,1,0.0,B,for-profit (proprietary),2012
4593,41783,VOGUE COLLEGE OF COSMETOLOGY                                     ,TX,3,3,6,56,10.7,A,5,D,2,21,9.5,B,0,0,0.0,A,for-profit (proprietary),2012
4594,41784,VOGUE COLLEGE - MCALLEN                                          ,TX,3,3,4,92,4.3,A,5,D,7,44,15.9,A,0,3,0.0,B,for-profit (proprietary),2012
4595,41785,VOGUE COLLEGE OF COSMETOLOGY                                     ,NM,3,3,4,38,10.5,A,5,D,2,28,7.1,B,0,1,0.0,B,for-profit (proprietary),2012
4597,41791,PCCTI  HEALTHCARE                                                ,IL,3,3,8,118,6.7,A,5,D,1,9,11.1,B,0,1,0.0,B,for-profit (proprietary),2012
4598,41792,ADVANCED COLLEGE OF COSMETOLOGY                                  ,WI,3,3,2,89,2.2,B,5,D,2,34,5.8,A,0,32,0.0,A,for-profit (proprietary),2012
4603,41806,APPALACHIAN COLLEGE OF PHARMACY                                  ,VA,7,2,0,72,0.0,A,5,D,1,30,3.3,B,0,1,0.0,B,"private, non-profit",2014 2012
4605,41814,BEST CARE COLLEGE                                                ,NJ,3,3,1,42,2.3,B,5,D,0,24,0.0,B,0,9,0.0,B,for-profit (proprietary),2013 2012
4616,41845,CHRISTINE VALMY INTERNATIONAL SCHOOL OF ESTHETICS & COSMETOLOGY  ,NJ,3,3,10,51,19.6,A,5,D,2,32,6.2,A,0,0,0.0,A,for-profit (proprietary),2012
4618,41849,COLLEGE OF INTERNATIONAL ESTHETICS                               ,CO,2,3,3,66,4.5,A,5,D,6,88,6.8,A,0,17,0.0,B,for-profit (proprietary),2012
4622,41856,MEDICAL ALLIED CAREER CENTER                                     ,CA,3,3,5,40,12.5,B,5,D,2,14,14.2,B,0,7,0.0,B,for-profit (proprietary),2012
4625,41863,PAUL MITCHELL THE SCHOOL LAS VEGAS                               ,NV,4,3,10,141,7.0,A,5,D,6,112,5.3,A,0,23,0.0,B,for-profit (proprietary),2012
4627,41870,DONNA'S ACADEMY OF HAIR DESIGN                                   ,MO,3,3,5,43,11.6,B,5,D,2,14,14.2,B,0,2,0.0,B,for-profit (proprietary),2012
4628,41872,NEW BEGINNING COLLEGE OF COSMETOLOGY                             ,AL,3,3,3,77,3.8,A,5,D,2,36,5.5,A,0,0,0.0,A,for-profit (proprietary),2012
4629,41874,JOHN AMICO SCHOOL OF HAIR DESIGN                                 ,IL,3,3,8,69,11.5,A,5,D,0,7,0.0,B,0,0,0.0,A,for-profit (proprietary),2013 2012
4631,41878,CYBERTEX INSTITUTE OF TECHNOLOGY                                 ,TX,3,3,16,52,30.7,A,5,D,0,3,0.0,B,0,0,0.0,A,for-profit (proprietary),2013 2012
4633,41887,ASI CAREER INSTITUTE                                             ,NJ,2,3,11,46,23.9,A,5,D,8,36,22.2,A,0,1,0.0,B,for-profit (proprietary),2012
4634,41890,LONG ISLAND BARBER INSTITUTE (THE)                               ,NY,2,3,17,41,41.4,A,5,D,8,21,38.0,B,0,1,0.0,B,for-profit (proprietary),2012
4637,41896,STATE CAREER SCHOOL                                              ,IL,3,3,6,53,11.3,A,5,D,6,27,22.2,B,0,0,0.0,A,for-profit (proprietary),2012
4639,41905,NEW YORK SCHOOL OF ESTHETICS & DAY SPA                           ,NY,2,3,7,40,17.5,A,5,D,3,32,9.3,A,0,6,0.0,B,for-profit (proprietary),2012
4641,41921,AMERICAN MEDICAL ACADEMY                                         ,FL,5,3,1,33,3.0,A,5,D,0,0,0.0,A,0,0,0.0,A,for-profit (proprietary),2013 2012
4645,41930,RIO GRANDE VALLEY COLLEGE                                        ,TX,3,3,10,145,6.8,A,5,D,6,22,27.2,B,0,0,0.0,A,for-profit (proprietary),2012
4646,41931,ALEXANDER ACADEMY                                                ,MA,3,3,13,37,35.1,A,5,D,11,36,30.5,A,0,0,0.0,A,for-profit (proprietary),2012
4647,41932,ROCKY MOUNTAIN UNIVERSITY OF HEALTH PROFESSIONS                  ,UT,8,3,1,75,1.3,A,5,D,0,57,0.0,A,0,11,0.0,B,for-profit (proprietary),2013 2012
4648,41935,LEMELANGE ACADEMY OF HAIR                                        ,CA,3,3,6,36,16.6,A,5,D,3,18,16.6,B,0,0,0.0,A,for-profit (proprietary),2012
4649,41937,JOHN PAUL THE GREAT CATHOLIC UNIVERSITY                          ,CA,8,2,0,32,0.0,A,5,D,1,22,4.5,B,0,4,0.0,B,"private, non-profit",2014 2012
4650,41943,COLTON-REDLANDS-YUCAIPA REGIONAL OCCUPATIONAL PROGRAM            ,CA,3,1,4,45,8.8,A,5,D,0,4,0.0,B,0,0,0.0,A,public,2013 2012
4651,41945,AVEDA INSTITUTE TUCSON                                           ,AZ,3,3,8,75,10.6,A,5,D,4,43,9.3,A,0,1,0.0,B,for-profit (proprietary),2012
4653,41951,AMBIANCE BEAUTY & BARBER ACADEMY                                 ,FL,3,3,17,34,50.0,B,5,D,6,10,60.0,B,0,0,0.0,A,for-profit (proprietary),2012
4654,41953,MONTAGE ACADEMY                                                  ,CO,4,3,4,33,12.1,B,5,D,1,7,14.2,B,0,0,0.0,A,for-profit (proprietary),2012
4655,41954,UNITEK COLLEGE                                                   ,CA,3,3,11,110,10.0,A,5,D,1,35,2.8,A,0,0,0.0,A,for-profit (proprietary),2012
4656,41956,TRIBECA FLASHPOINT COLLEGE                                       ,IL,6,3,3,62,4.8,A,5,D,0,0,0.0,A,0,0,0.0,A,for-profit (proprietary),2013 2012
4657,41975,UNIVERSITY ACADEMY OF HAIR DESIGN                                ,AL,3,3,6,33,18.1,A,5,D,3,8,37.5,B,0,0,0.0,A,for-profit (proprietary),2012
4658,41976,"FLORIDA INSTITUTE OF RECORDING, SOUND AND TECHNOLOGY             ",FL,2,3,24,108,22.2,A,5,D,18,59,30.5,A,0,0,0.0,A,for-profit (proprietary),2012
4659,42026,NEW DIMENSIONS BEAUTY ACADEMY                                    ,CO,4,3,1,47,2.1,B,5,D,0,19,0.0,B,0,3,0.0,B,for-profit (proprietary),2013 2012
4660,42028,PANACHE ACADEMY OF BEAUTY                                        ,WI,4,3,0,33,0.0,A,5,D,3,29,10.3,B,1,6,16.6,B,for-profit (proprietary),2014
4665,42035,AUSTIN KADE ACADEMY                                              ,ID,4,3,16,132,12.1,A,5,D,14,102,13.7,A,0,12,0.0,B,for-profit (proprietary),2012
4666,42038,WOODRUFF MEDICAL TRAINING AND TESTING                            ,GA,2,3,21,60,35.0,A,5,D,0,0,0.0,A,0,0,0.0,A,for-profit (proprietary),2013 2012
4667,42040,ASPEN BEAUTY ACADEMY - LAUREL                                    ,MD,3,3,13,51,25.4,B,5,D,5,22,22.7,B,0,3,0.0,B,for-profit (proprietary),2012
4668,42043,AESTHETIC SCIENCE INSTITUTE (THE)                                ,NY,3,3,3,49,6.1,A,5,D,2,29,6.8,B,0,0,0.0,A,for-profit (proprietary),2012
4669,42045,ELAINE STERLING INSTITUTE(THE)                                   ,GA,3,3,6,68,8.8,A,5,D,5,35,14.2,A,0,1,0.0,B,for-profit (proprietary),2012
4670,42047,PAUL MITCHELL THE SCHOOL RALEIGH                                 ,NC,3,3,5,90,5.5,A,5,D,5,59,8.4,A,0,1,0.0,B,for-profit (proprietary),2012
4671,42052,WADE GORDON HAIRDRESSING ACADEMY                                 ,TX,3,3,5,50,10.0,A,5,D,6,25,24.0,B,0,0,0.0,A,for-profit (proprietary),2012
4672,42053,MITSU SATO HAIR ACADEMY                                          ,KS,3,3,5,39,12.8,B,5,D,3,15,20.0,B,0,0,0.0,A,for-profit (proprietary),2012
4673,42055,LIL LOU'S BEAUTY AND BARBER COLLEGE LLC                          ,IN,3,3,10,44,22.7,B,5,D,6,17,35.2,B,0,3,0.0,B,for-profit (proprietary),2012
4674,42058,"SAE INSTITUTE OF TECHNOLOGY, LOS ANGELES                         ",CA,3,3,31,117,26.4,A,5,D,3,36,8.3,A,0,1,0.0,B,for-profit (proprietary),2012
4675,42062,DIGITAL FILM ACADEMY                                             ,NY,3,3,4,34,11.7,B,5,D,1,5,20.0,B,0,0,0.0,A,for-profit (proprietary),2012
4676,42063,FLORIDA VOCATIONAL INSTITUTE                                     ,FL,3,3,10,63,15.8,A,5,D,0,3,0.0,B,0,0,0.0,A,for-profit (proprietary),2013 2012
4677,42064,HELMS COLLEGE                                                    ,GA,5,2,23,84,27.3,A,5,D,2,8,25.0,B,0,0,0.0,A,"private, non-profit",2012
4678,42065,MYCOMPUTERCAREER.COM                                             ,NC,3,3,39,299,13.0,A,5,D,5,19,26.3,B,0,2,0.0,B,for-profit (proprietary),2012
4679,42066,SAE INSTITUTE OF TECHNOLOGY - ATLANTA                            ,GA,5,3,41,140,29.2,A,5,D,6,18,33.3,B,0,0,0.0,A,for-profit (proprietary),2012
4680,42068,ADVANCE BEAUTY TECHS ACADEMY                                     ,CA,3,3,17,52,32.6,A,5,D,4,16,25.0,B,0,0,0.0,A,for-profit (proprietary),2012
4681,42075,MEDICAL CAREER INSTITUTE                                         ,NJ,3,3,4,31,12.9,A,5,D,0,1,0.0,B,0,0,0.0,A,for-profit (proprietary),2013 2012
4682,42076,AMERICAN ACADEMY OF PERSONAL TRAINING                            ,NY,0,3,11,80,13.7,A,5,D,0,0,0.0,A,0,0,0.0,A,for-profit (proprietary),2013 2012
4683,42079,SAE INSTITUTE OF TECHNOLOGY - MIAMI                              ,FL,3,3,31,115,26.9,A,5,D,1,8,12.5,B,0,0,0.0,A,for-profit (proprietary),2012
4684,42086,RELAY GRADUATE SCHOOL OF EDUCATION                               ,NY,8,2,0,42,0.0,A,5,D,1,13,7.6,B,0,0,0.0,A,"private, non-profit",2014 2012
4686,42089,ADVANCED CAREER INSTITUTE                                        ,CA,2,3,9,110,8.1,A,5,D,0,13,0.0,B,0,0,0.0,A,for-profit (proprietary),2013 2012
4687,42093,PAUL MITCHELL THE SCHOOL - OVERLAND PARK                         ,KS,3,3,8,81,9.8,A,5,D,2,27,7.4,B,0,0,0.0,A,for-profit (proprietary),2012
4688,42098,HINTON BARBER AND BEAUTY COLLEGE                                 ,CA,3,3,10,30,33.3,B,5,D,2,10,20.0,B,0,0,0.0,A,for-profit (proprietary),2012
4689,42103,MEDSPA ACADEMIES                                                 ,UT,3,3,0,93,0.0,A,5,D,1,49,2.0,A,0,0,0.0,A,for-profit (proprietary),2014 2012
4691,42133,SOUTHERN TEXAS CAREERS ACADEMY                                   ,TX,3,3,5,52,9.6,A,5,D,1,15,6.6,B,0,0,0.0,A,for-profit (proprietary),2012
4692,42138,SALON PROFESSIONAL ACADEMY (THE)                                 ,TN,3,3,0,31,0.0,A,5,D,0,13,0.0,B,0,0,0.0,A,for-profit (proprietary),ALL
4693,42151,CALIFORNIA CAREER INSTITUTE                                      ,CA,3,3,1,54,1.8,A,5,D,0,0,0.0,A,0,0,0.0,A,for-profit (proprietary),2013 2012
4694,42160,UNIVERSAL TRAINING INSTITUTE                                     ,NJ,3,3,4,30,13.3,B,5,D,0,1,0.0,B,0,0,0.0,A,for-profit (proprietary),2013 2012
4695,42170,HEALTHCARE TRAINING INSTITUTE                                    ,LA,4,3,4,30,13.3,A,5,D,0,7,0.0,B,0,0,0.0,A,for-profit (proprietary),2013 2012
4696,42178,BOCA BEAUTY ACADEMY                                              ,FL,3,3,13,91,14.2,A,5,D,0,3,0.0,B,0,0,0.0,A,for-profit (proprietary),2013 2012
4697,42182,PAUL MITCHELL THE SCHOOL - JERSEY SHORE                          ,NJ,3,3,11,32,34.3,A,5,D,0,0,0.0,A,0,0,0.0,A,for-profit (proprietary),2013 2012
4698,42189,ROCKY VISTA UNIVERSITY                                           ,CO,8,3,0,78,0.0,A,5,D,0,5,0.0,B,0,0,0.0,A,for-profit (proprietary),ALL
4699,42222,FAB SCHOOL (THE)                                                 ,CA,2,3,3,40,7.5,A,5,D,0,0,0.0,A,0,0,0.0,A,for-profit (proprietary),2013 2012
