,opeid,name,state,prog-length,school-type-num,dual-num-2014,dual-denom-2014,drate-2014,prate-2014,ethnic-code,program,dual-num-2013,dual-denom-2013,drate-2013,prate-2013,dual-num-2012,dual-denom-2012,drate-2012,prate-2012,school-type-label,non_default,community-schools
891,2362,MINNEAPOLIS COMMUNITY AND TECHNICAL COLLEGE                      ,MN,5,1,768,3715,20.6,P,5,D,787,3630,21.6,P,855,3967,21.5,P,public,,True
562,1875,MARSHALLTOWN COMMUNITY COLLEGE                                   ,IA,5,1,120,580,20.6,A,5,D,111,606,18.3,A,136,608,22.3,A,public,,True
2209,6785,SCHENECTADY COUNTY COMMUNITY COLLEGE                             ,NY,5,1,296,1441,20.5,A,5,D,255,1356,18.8,A,201,1054,19.0,A,public,,True
3774,30633,NORTHWEST ARKANSAS COMMUNITY COLLEGE                             ,AR,5,1,398,1937,20.5,A,5,D,355,1872,18.9,A,291,1617,17.9,A,public,,True
2585,9544,SPOKANE FALLS COMMUNITY COLLEGE                                  ,WA,6,1,292,1428,20.4,A,5,D,248,1468,16.8,A,307,1525,20.1,A,public,,True
40,1076,GLENDALE COMMUNITY COLLEGE                                       ,AZ,5,1,715,3495,20.4,A,5,D,695,3279,21.1,A,649,2943,22.0,A,public,,True
179,1269,RIO HONDO COMMUNITY COLLEGE                                      ,CA,6,1,34,166,20.4,A,3,D,37,220,16.8,A,43,240,17.9,A,public,,True
2444,8403,INDIAN HILLS COMMUNITY COLLEGE                                   ,IA,5,1,379,1865,20.3,P,5,D,444,1928,23.0,P,506,2053,24.6,P,public,,True
2517,9010,MADISONVILLE COMMUNITY COLLEGE                                   ,KY,5,1,154,762,20.2,P,5,D,150,714,21.0,P,120,649,18.4,P,public,,True
33,1060,COASTAL ALABAMA COMMUNITY COLLEGE                                ,AL,5,1,274,1363,20.1,P,5,D,256,1346,19.0,A,180,1107,16.2,A,public,,True
2240,6961,JEFFERSON COMMUNITY AND TECHNICAL COLLEGE                        ,KY,5,1,694,3446,20.1,P,5,D,1120,4364,25.6,P,887,3543,25.0,P,public,,True
2051,5245,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON            ,AR,5,1,115,572,20.1,A,5,D,99,529,18.7,A,84,497,16.9,A,public,,True
914,2402,COPIAH-LINCOLN COMMUNITY COLLEGE                                 ,MS,5,1,128,637,20.0,A,5,D,162,738,21.9,A,189,751,25.1,A,public,,True
2125,5732,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE                 ,AR,5,1,9,45,20.0,A,5,D,5,68,7.3,A,21,90,23.3,A,public,,True
3085,21163,PUEBLO COMMUNITY COLLEGE                                         ,CO,6,1,400,2009,19.9,P,3,D,474,2178,21.7,P,388,1984,19.5,P,public,,True
2034,5006,WALLA WALLA COMMUNITY COLLEGE                                    ,WA,5,1,138,696,19.8,A,5,D,104,664,15.6,A,143,703,20.3,A,public,,True
2375,7871,GEORGE C. WALLACE STATE COMMUNITY COLLEGE                        ,AL,5,1,326,1660,19.6,A,5,D,316,1670,18.9,A,326,1744,18.6,A,public,,True
3692,26236,PARADISE VALLEY COMMUNITY COLLEGE                                ,AZ,5,1,249,1266,19.6,A,5,D,222,1332,16.6,A,206,1132,18.1,A,public,,True
2294,7316,WESTERN IOWA TECH COMMUNITY COLLEGE                              ,IA,5,1,311,1581,19.6,A,5,D,305,1641,18.5,A,336,1636,20.5,A,public,,True
807,2237,ALPENA COMMUNITY COLLEGE                                         ,MI,6,1,88,450,19.5,A,5,D,128,525,24.3,A,105,488,21.5,A,public,,True
702,2074,HAGERSTOWN COMMUNITY COLLEGE                                     ,MD,5,1,239,1225,19.5,A,5,D,170,1049,16.2,A,149,913,16.3,A,public,,True
1412,3213,PORTLAND COMMUNITY COLLEGE                                       ,OR,5,1,2134,10891,19.5,A,5,D,1927,10201,18.8,A,1400,8097,17.2,A,public,,True
1804,3770,BIG BEND COMMUNITY COLLEGE                                       ,WA,5,1,76,388,19.5,A,5,D,72,371,19.4,A,86,382,22.5,A,public,,True
1233,2915,CENTRAL PIEDMONT COMMUNITY COLLEGE                               ,NC,5,1,353,1803,19.5,A,5,D,225,1110,20.2,A,37,172,21.5,A,public,,True
2220,6819,BLUE RIDGE COMMUNITY COLLEGE                                     ,VA,5,1,125,639,19.5,A,5,D,119,609,19.5,A,100,517,19.3,A,public,,True
967,2491,MOBERLY AREA COMMUNITY COLLEGE                                   ,MO,5,1,246,1260,19.5,A,5,D,214,1245,17.1,A,193,1160,16.6,A,public,,True
596,1921,HIGHLAND COMMUNITY COLLEGE                                       ,KS,5,1,145,750,19.3,P,5,D,150,829,18.0,P,159,979,16.2,P,public,,True
2100,5461,SALEM COMMUNITY COLLEGE                                          ,NJ,5,1,38,196,19.3,A,5,D,28,190,14.7,A,18,169,10.6,A,public,,True
885,2355,HIBBING COMMUNITY COLLEGE                                        ,MN,5,1,118,611,19.3,A,5,D,115,560,20.5,A,162,660,24.5,A,public,,True
2281,7266,PIMA COUNTY COMMUNITY COLLEGE                                    ,AZ,5,1,780,4037,19.3,A,3,D,934,4452,20.9,A,1023,4799,21.3,A,public,,True
19,1031,NORTHEAST ALABAMA COMMUNITY COLLEGE                              ,AL,5,1,80,414,19.3,A,5,D,67,419,15.9,A,92,396,23.2,A,public,,True
2428,8304,SCOTTSDALE COMMUNITY COLLEGE                                     ,AZ,5,1,302,1574,19.1,A,5,D,313,1699,18.4,A,251,1535,16.3,A,public,,True
2111,5535,PINE TECHNICAL AND COMMUNITY COLLEGE                             ,MN,5,1,67,349,19.1,A,5,D,61,372,16.3,A,57,359,15.8,A,public,,True
548,1857,SOUTHWESTERN COMMUNITY COLLEGE                                   ,IA,5,1,96,501,19.1,A,5,D,88,514,17.1,A,126,622,20.2,A,public,,True
923,2413,MERIDIAN COMMUNITY COLLEGE                                       ,MS,5,1,118,621,19.0,A,5,D,148,790,18.7,A,189,852,22.1,A,public,,True
2723,10453,WASHINGTON STATE COMMUNITY COLLEGE                               ,OH,5,1,79,415,19.0,A,5,D,100,514,19.4,A,113,556,20.3,A,public,,True
3809,30830,OZARKS TECHNICAL COMMUNITY COLLEGE                               ,MO,5,1,829,4353,19.0,A,5,D,954,4176,22.8,A,781,3692,21.1,A,public,,True
1192,2863,CORNING COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGES    ,NY,5,1,254,1331,19.0,A,5,D,246,1353,18.1,A,342,1561,21.9,A,public,,True
844,2294,MONROE COUNTY COMMUNITY COLLEGE                                  ,MI,5,1,131,691,18.9,A,5,D,117,673,17.3,A,102,568,17.9,A,public,,True
8,1013,CALHOUN COMMUNITY COLLEGE                                        ,AL,5,1,430,2264,18.9,P,5,D,357,2107,16.9,P,325,1770,18.3,P,public,,True
1795,3760,VIRGINIA WESTERN COMMUNITY COLLEGE                               ,VA,5,1,167,883,18.9,A,5,D,155,879,17.6,A,137,796,17.2,A,public,,True
2000,4844,WAKE TECHNICAL COMMUNITY COLLEGE                                 ,NC,5,1,776,4093,18.9,A,5,D,525,3330,15.7,A,280,2033,13.7,A,public,,True
2333,7582,AIMS COMMUNITY COLLEGE                                           ,CO,5,1,244,1286,18.9,A,5,D,286,1412,20.2,A,180,1096,16.4,A,public,,True
1371,3156,REDLANDS COMMUNITY COLLEGE                                       ,OK,5,1,86,455,18.9,A,5,D,71,448,15.8,A,118,499,23.6,A,public,,True
1793,3758,DANVILLE COMMUNITY COLLEGE                                       ,VA,5,1,49,260,18.8,A,5,D,39,268,14.5,A,27,169,15.9,A,public,,True
2808,11167,COMMUNITY COLLEGE OF VERMONT                                     ,VT,5,1,273,1450,18.8,A,5,D,289,1469,19.6,A,303,1479,20.4,A,public,,True
759,2167,BERKSHIRE COMMUNITY COLLEGE                                      ,MA,5,1,101,535,18.8,A,5,D,92,490,18.7,A,79,473,16.7,A,public,,True
2541,9230,WAYNE COUNTY COMMUNITY COLLEGE DISTRICT                          ,MI,5,1,912,4869,18.7,A,5,D,586,4285,13.6,A,1243,5995,20.7,A,public,,True
961,2484,METROPOLITAN COMMUNITY COLLEGE                                   ,MO,5,1,408,2172,18.7,P,5,D,472,2257,20.9,P,495,2709,18.2,P,public,,True
1895,3933,WESTERN WYOMING COMMUNITY COLLEGE                                ,WY,5,1,75,401,18.7,A,5,D,76,421,18.0,A,82,409,20.0,A,public,,True
1948,4075,EASTERN IOWA COMMUNITY COLLEGE DISTRICT                          ,IA,5,1,350,1877,18.6,P,5,D,407,2169,18.7,P,487,2290,21.2,P,public,,True
1207,2879,SULLIVAN COUNTY COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLL,NY,5,1,84,451,18.6,A,5,D,82,463,17.7,A,63,419,15.0,A,public,,True
23,1040,SOUTHERN UNION STATE COMMUNITY COLLEGE                           ,AL,5,1,189,1016,18.6,P,5,D,159,928,17.1,P,158,914,17.2,P,public,,True
1329,3068,LORAIN COUNTY COMMUNITY COLLEGE                                  ,OH,5,1,380,2040,18.6,A,5,D,380,2093,18.1,A,417,2241,18.6,A,public,,True
2204,6768,MID MICHIGAN COMMUNITY COLLEGE                                   ,MI,5,1,283,1515,18.6,A,5,D,365,1726,21.1,A,280,1631,17.1,A,public,,True
4126,37303,BATON ROUGE COMMUNITY COLLEGE                                    ,LA,5,1,407,2190,18.5,P,5,D,355,1731,20.5,A,276,1181,23.3,A,public,,True
1765,3712,TIDEWATER COMMUNITY COLLEGE                                      ,VA,5,1,1028,5534,18.5,A,5,D,854,5670,15.0,A,639,4816,13.2,A,public,,True
2264,7120,DES MOINES AREA COMMUNITY COLLEGE                                ,IA,5,1,1040,5617,18.5,P,5,D,1462,7084,20.6,P,1761,6820,25.8,P,public,,True
1668,3590,MCLENNAN COMMUNITY COLLEGE                                       ,TX,5,1,540,2906,18.5,A,5,D,564,3098,18.2,A,688,3362,20.4,A,public,,True
2234,6938,LINN-BENTON COMMUNITY COLLEGE                                    ,OR,5,1,295,1600,18.4,A,5,D,348,1963,17.7,A,366,1917,19.0,A,public,,True
1203,2875,ONONDAGA COMMUNITY COLLEGE                                       ,NY,5,1,521,2824,18.4,A,5,D,430,2881,14.9,A,363,2564,14.1,A,public,,True
1440,3249,COMMUNITY COLLEGE OF PHILADELPHIA                                ,PA,5,1,1146,6212,18.4,A,5,D,1010,6200,16.2,A,932,5318,17.5,A,public,,True
1654,3572,TRINITY VALLEY COMMUNITY COLLEGE                                 ,TX,5,1,234,1268,18.4,A,5,D,276,1199,23.0,A,223,948,23.5,A,public,,True
1926,3994,SPARTANBURG COMMUNITY COLLEGE                                    ,SC,5,1,131,710,18.4,A,5,D,153,765,20.0,A,136,740,18.3,A,public,,True
931,2427,NORTHWEST MISSISSIPPI COMMUNITY COLLEGE                          ,MS,5,1,276,1503,18.3,A,5,D,272,1657,16.4,A,316,1515,20.8,A,public,,True
2934,12813,JOHN WOOD COMMUNITY COLLEGE                                      ,IL,5,1,102,557,18.3,A,5,D,101,552,18.2,A,86,582,14.7,A,public,,True
1012,2557,MID-PLAINS COMMUNITY COLLEGE                                     ,NE,5,1,92,501,18.3,P,5,D,85,499,17.0,P,83,445,18.6,P,public,,True
2929,12750,EDISON STATE COMMUNITY COLLEGE                                   ,OH,5,1,111,607,18.2,A,5,D,130,649,20.0,A,134,678,19.7,A,public,,True
2228,6867,COLUMBUS STATE COMMUNITY COLLEGE                                 ,OH,5,1,1692,9287,18.2,A,5,D,2216,11464,19.3,A,2627,12290,21.3,A,public,,True
1836,3805,YAKIMA VALLEY COMMUNITY COLLEGE                                  ,WA,6,1,157,858,18.2,A,3,D,150,843,17.7,A,113,801,14.1,A,public,,True
1827,3796,TACOMA COMMUNITY COLLEGE                                         ,WA,6,1,287,1584,18.1,A,5,D,241,1515,15.9,A,212,1271,16.6,A,public,,True
4652,41949,TILLAMOOK BAY COMMUNITY COLLEGE                                  ,OR,5,1,8,44,18.1,A,5,D,2587,15272,16.9,B,2159,11949,18.0,B,public,,True
2480,8659,LORD FAIRFAX COMMUNITY COLLEGE                                   ,VA,5,1,78,429,18.1,A,5,D,56,323,17.3,A,10,57,17.5,A,public,,True
824,2264,GOGEBIC COMMUNITY COLLEGE                                        ,MI,5,1,57,315,18.0,A,5,D,37,278,13.3,A,33,307,10.7,A,public,,True
2259,7111,NORTH COUNTRY COMMUNITY COLLEGE                                  ,NY,5,1,91,505,18.0,A,5,D,105,545,19.2,A,104,514,20.2,A,public,,True
2062,5277,EASTERN MAINE COMMUNITY COLLEGE                                  ,ME,5,1,137,757,18.0,A,5,D,132,693,19.0,A,83,611,13.5,A,public,,True
2061,5276,CENTRAL MAINE COMMUNITY COLLEGE                                  ,ME,5,1,154,852,18.0,A,5,D,143,829,17.2,A,161,851,18.9,A,public,,True
3842,31004,COCONINO COUNTY COMMUNITY COLLEGE                                ,AZ,5,1,89,492,18.0,A,5,D,100,582,17.1,A,113,503,22.4,A,public,,True
3887,31229,YORK COUNTY COMMUNITY COLLEGE                                    ,ME,5,1,66,365,18.0,A,5,D,44,332,13.2,A,42,285,14.7,A,public,,True
1200,2872,MONROE COMMUNITY COLLEGE                                         ,NY,5,1,922,5103,18.0,A,5,D,794,5069,15.6,A,870,5106,17.0,A,public,,True
583,1906,BUTLER COUNTY COMMUNITY COLLEGE                                  ,KS,5,1,402,2244,17.9,A,5,D,359,2296,15.6,A,256,1974,12.9,A,public,,True
2269,7170,LINCOLN LAND COMMUNITY COLLEGE                                   ,IL,5,1,163,907,17.9,A,5,D,115,848,13.5,A,154,931,16.5,A,public,,True
2927,12693,PELLISSIPPI STATE COMMUNITY COLLEGE                              ,TN,5,1,391,2194,17.8,A,5,D,318,1985,16.0,A,406,2202,18.4,A,public,,True
762,2170,HOLYOKE COMMUNITY COLLEGE                                        ,MA,5,1,233,1305,17.8,A,5,D,168,1258,13.3,A,142,1082,13.1,A,public,,True
1954,4480,DE ANZA COMMUNITY COLLEGE                                        ,CA,5,1,154,861,17.8,A,5,D,159,804,19.7,A,122,664,18.3,A,public,,True
1034,2596,ATLANTIC CAPE COMMUNITY COLLEGE                                  ,NJ,5,1,154,862,17.8,A,5,D,121,864,14.0,A,132,932,14.1,A,public,,True
2409,8145,NASHVILLE STATE COMMUNITY COLLEGE                                ,TN,5,1,457,2574,17.7,A,5,D,483,2582,18.7,A,446,2282,19.5,A,public,,True
2396,8038,MIDDLESEX COMMUNITY COLLEGE                                      ,CT,5,1,21,118,17.7,A,5,D,18,95,18.9,A,13,127,10.2,A,public,,True
1455,3273,HARRISBURG AREA COMMUNITY COLLEGE                                ,PA,5,1,1350,7617,17.7,A,5,D,1159,7392,15.6,A,1148,7102,16.1,A,public,,True
1014,2560,WESTERN NEBRASKA COMMUNITY COLLEGE                               ,NE,5,1,58,327,17.7,P,5,D,72,388,18.5,P,76,437,17.3,P,public,,True
1189,2860,ADIRONDACK COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGES ,NY,5,1,169,954,17.7,A,5,D,129,840,15.3,A,101,786,12.8,A,public,,True
836,2278,LANSING COMMUNITY COLLEGE                                        ,MI,5,1,906,5144,17.6,A,5,D,1202,6064,19.8,A,1591,6383,24.9,A,public,,True
2049,5223,NEW RIVER COMMUNITY COLLEGE                                      ,VA,5,1,108,617,17.5,P,5,D,140,682,20.5,P,119,612,19.4,P,public,,True
2854,11864,MOHAVE COMMUNITY COLLEGE                                         ,AZ,5,1,152,869,17.4,A,5,D,180,998,18.0,A,253,1110,22.7,A,public,,True
2714,10391,OKLAHOMA CITY COMMUNITY COLLEGE                                  ,OK,5,1,425,2431,17.4,A,5,D,456,2794,16.3,A,598,2875,20.8,A,public,,True
588,1913,DODGE CITY COMMUNITY COLLEGE                                     ,KS,5,1,34,195,17.4,A,5,D,20,171,11.6,A,32,203,15.7,A,public,,True
3794,30722,CHANDLER - GILBERT COMMUNITY COLLEGE                             ,AZ,5,1,304,1752,17.3,A,5,D,298,1838,16.2,A,281,1676,16.7,A,public,,True
810,2240,BAY DE NOC COMMUNITY COLLEGE                                     ,MI,5,1,96,554,17.3,A,5,D,116,564,20.5,A,130,543,23.9,A,public,,True
2484,8677,NORTHWEST STATE COMMUNITY COLLEGE                                ,OH,5,1,185,1064,17.3,A,5,D,196,1076,18.2,A,195,1146,17.0,A,public,,True
2211,6788,TOMPKINS CORTLAND COMMUNITY COLLEGE                              ,NY,5,1,225,1308,17.2,A,5,D,246,1422,17.2,A,226,1419,15.9,A,public,,True
2030,4996,DABNEY S LANCASTER COMMUNITY COLLEGE                             ,VA,5,1,26,152,17.1,A,5,D,19,153,12.4,A,21,159,13.2,A,public,,True
2210,6787,CLINTON COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGES    ,NY,5,1,98,575,17.0,A,5,D,106,578,18.3,A,107,710,15.0,A,public,,True
2879,12182,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE                           ,AL,5,1,52,305,17.0,A,5,D,29,182,15.9,A,12,109,11.0,A,public,,True
2645,9928,PIEDMONT VIRGINIA COMMUNITY COLLEGE                              ,VA,5,1,84,493,17.0,A,5,D,87,482,18.0,A,72,420,17.1,A,public,,True
109,1166,CITRUS COMMUNITY COLLEGE                                         ,CA,5,1,53,310,17.0,A,3,D,38,270,14.0,A,53,315,16.8,A,public,,True
393,1614,KAUAI COMMUNITY COLLEGE                                          ,HI,5,1,29,170,17.0,A,5,D,35,132,26.5,A,28,108,25.9,A,public,,True
1197,2869,JAMESTOWN COMMUNITY COLLEGE                                      ,NY,5,1,160,936,17.0,A,5,D,170,1006,16.8,A,169,1003,16.8,A,public,,True
1796,3761,WYTHEVILLE COMMUNITY COLLEGE                                     ,VA,5,1,22,130,16.9,A,5,D,12,98,12.2,A,6,71,8.4,A,public,,True
3356,22769,COMMUNITY COLLEGE OF AURORA                                      ,CO,5,1,349,2061,16.9,A,5,D,273,1813,15.0,A,173,1465,11.8,A,public,,True
1191,2862,SUNY BROOME COMMUNITY COLLEGE                                    ,NY,5,1,308,1812,16.9,A,5,D,311,1738,17.8,A,282,1635,17.2,A,public,,True
2086,5378,NORTHEAST STATE COMMUNITY COLLEGE                                ,TN,5,1,174,1029,16.9,A,5,D,240,1138,21.0,A,272,1247,21.8,A,public,,True
2653,9981,MORGAN COMMUNITY COLLEGE                                         ,CO,5,1,45,267,16.8,A,5,D,44,315,13.9,A,44,294,14.9,A,public,,True
1595,3483,COLUMBIA STATE COMMUNITY COLLEGE                                 ,TN,5,1,158,939,16.8,A,5,D,98,742,13.2,A,118,771,15.3,A,public,,True
2629,9826,KENNEBEC VALLEY COMMUNITY COLLEGE                                ,ME,5,1,84,498,16.8,A,5,D,80,479,16.7,A,66,436,15.1,A,public,,True
2323,7532,FINGER LAKES COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGE,NY,5,1,313,1861,16.8,A,5,D,337,1958,17.2,A,291,1655,17.5,A,public,,True
2270,7171,KIRTLAND COMMUNITY COLLEGE                                       ,MI,5,1,71,425,16.7,A,5,D,79,449,17.5,A,61,426,14.3,A,public,,True
2273,7191,NORTHAMPTON COUNTY AREA COMMUNITY COLLEGE                        ,PA,5,1,300,1790,16.7,A,5,D,241,1659,14.5,A,207,1577,13.1,A,public,,True
710,2089,PRINCE GEORGE'S COMMUNITY COLLEGE                                ,MD,5,1,393,2353,16.7,P,5,D,321,2163,14.8,P,246,1691,14.5,P,public,,True
2212,6789,COLUMBIA - GREENE COMMUNITY COLLEGE - SUNY OFFICE OF CMNTY COLLEG,NY,5,1,63,377,16.7,A,5,D,47,383,12.2,A,52,379,13.7,A,public,,True
2951,12954,HUDSON COUNTY COMMUNITY COLLEGE                                  ,NJ,5,1,121,721,16.7,A,3,D,101,727,13.8,A,92,571,16.1,A,public,,True
2229,6871,THOMAS NELSON COMMUNITY COLLEGE                                  ,VA,5,1,331,1984,16.6,A,5,D,277,1785,15.5,A,186,1497,12.4,A,public,,True
2606,9684,BLUE RIDGE COMMUNITY COLLEGE                                     ,NC,5,1,28,168,16.6,A,5,D,42,174,24.1,A,22,104,21.1,A,public,,True
2842,11727,DELAWARE TECHNICAL COMMUNITY COLLEGE                             ,DE,6,1,294,1778,16.5,P,5,D,255,1783,14.3,P,53,426,12.4,A,public,,True
1193,2864,DUTCHESS COMMUNITY COLLEGE                                       ,NY,5,1,237,1430,16.5,A,5,D,205,1336,15.3,A,195,1234,15.8,A,public,,True
3920,31804,PENNSYLVANIA HIGHLANDS COMMUNITY COLLEGE                         ,PA,5,1,80,483,16.5,A,5,D,90,471,19.1,A,75,480,15.6,A,public,,True
2548,9259,LARAMIE COUNTY COMMUNITY COLLEGE                                 ,WY,5,1,106,640,16.5,A,5,D,102,714,14.2,A,113,619,18.2,A,public,,True
1538,3408,COMMUNITY COLLEGE OF RHODE ISLAND                                ,RI,5,1,448,2707,16.5,P,5,D,314,2445,12.8,P,220,1845,11.9,P,public,,True
563,1877,NORTH IOWA AREA COMMUNITY COLLEGE                                ,IA,5,1,155,936,16.5,A,5,D,187,1018,18.3,A,213,1049,20.3,A,public,,True
2055,5263,MINNESOTA WEST COMMUNITY AND TECHNICAL COLLEGE                   ,MN,5,1,144,877,16.4,P,5,D,142,961,14.7,P,145,986,14.7,P,public,,True
2643,9914,ROANE STATE COMMUNITY COLLEGE                                    ,TN,5,1,168,1019,16.4,A,5,D,187,1060,17.6,A,131,888,14.7,A,public,,True
764,2172,MOUNT WACHUSETT COMMUNITY COLLEGE                                ,MA,5,1,172,1047,16.4,A,5,D,143,1118,12.7,A,93,858,10.8,A,public,,True
2921,12586,METROPOLITAN COMMUNITY COLLEGE                                   ,NE,5,1,384,2350,16.3,A,5,D,453,2698,16.7,A,531,2933,18.1,A,public,,True
1208,2880,ULSTER COUNTY COMMUNITY COLLEGE                                  ,NY,5,1,79,482,16.3,A,5,D,102,492,20.7,A,68,477,14.2,A,public,,True
2374,7870,HILLSBOROUGH COMMUNITY COLLEGE                                   ,FL,5,1,842,5190,16.2,A,5,D,677,4378,15.4,A,521,3399,15.3,A,public,,True
1952,4452,MONTGOMERY COUNTY COMMUNITY COLLEGE                              ,PA,5,1,417,2564,16.2,P,5,D,392,2419,16.2,P,290,2276,12.7,P,public,,True
591,1916,FORT SCOTT COMMUNITY COLLEGE                                     ,KS,5,1,99,610,16.2,A,5,D,81,567,14.2,A,77,521,14.7,A,public,,True
2033,5001,EDMONDS COMMUNITY COLLEGE                                        ,WA,6,1,149,919,16.2,A,5,D,122,873,13.9,A,147,938,15.6,A,public,,True
761,2169,GREENFIELD COMMUNITY COLLEGE                                     ,MA,5,1,74,455,16.2,A,5,D,69,440,15.6,A,68,440,15.4,A,public,,True
2481,8660,GERMANNA COMMUNITY COLLEGE                                       ,VA,5,1,75,462,16.2,A,5,D,59,305,19.3,A,14,122,11.4,A,public,,True
2217,6810,LEHIGH CARBON COMMUNITY COLLEGE                                  ,PA,5,1,238,1474,16.1,A,5,D,214,1416,15.1,A,198,1449,13.6,A,public,,True
2215,6804,LAKELAND COMMUNITY COLLEGE                                       ,OH,5,1,352,2186,16.1,A,5,D,435,2441,17.8,A,405,2197,18.4,A,public,,True
1969,4587,NORTHEAST IOWA COMMUNITY COLLEGE                                 ,IA,5,1,234,1445,16.1,A,5,D,226,1437,15.7,A,293,1601,18.3,A,public,,True
694,2063,COMMUNITY COLLEGE OF BALTIMORE COUNTY                            ,MD,5,1,535,3333,16.0,P,5,D,530,3398,15.5,P,470,3031,15.5,P,public,,True
1427,3231,COMMUNITY COLLEGE OF ALLEGHENY COUNTY                            ,PA,5,1,546,3426,15.9,P,5,D,577,3549,16.2,P,505,3352,15.0,P,public,,True
886,2356,ITASCA COMMUNITY COLLEGE                                         ,MN,5,1,73,459,15.9,A,5,D,79,454,17.4,A,87,487,17.8,A,public,,True
845,2295,MONTCALM COMMUNITY COLLEGE                                       ,MI,5,1,69,435,15.8,A,5,D,66,427,15.4,A,62,447,13.8,A,public,,True
1970,4595,HAWKEYE COMMUNITY COLLEGE                                        ,IA,5,1,365,2310,15.8,P,5,D,375,2361,15.8,P,467,2584,18.0,P,public,,True
1964,4549,LEEWARD COMMUNITY COLLEGE                                        ,HI,5,1,50,318,15.7,A,5,D,49,276,17.7,A,39,267,14.6,A,public,,True
1202,2874,NIAGARA COUNTY COMMUNITY COLLEGE                                 ,NY,5,1,234,1490,15.7,A,5,D,245,1543,15.8,A,225,1594,14.1,A,public,,True
2504,8896,PIKES PEAK COMMUNITY COLLEGE                                     ,CO,5,1,490,3140,15.6,A,5,D,693,3840,18.0,A,617,3408,18.1,A,public,,True
871,2335,RIVERLAND COMMUNITY COLLEGE                                      ,MN,5,1,149,954,15.6,P,5,D,171,999,17.1,P,174,938,18.5,P,public,,True
